date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,1839.0,99.0,905.0,12229.0,6477.52
2019-08-02,08-02,1455.0,66.0,842.0,7801.0,4666.74
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,541.0,33.0,409.0,3232.0,1310.75
2019-08-05,08-05,1490.0,57.0,830.0,7908.0,8444.06
2019-08-06,08-06,1119.0,60.0,665.0,6769.0,4280.67
2019-08-07,08-07,1376.0,62.0,833.0,7142.0,6398.08
2019-08-08,08-08,1984.0,85.0,1059.0,13323.0,14197.55
2019-08-09,08-09,1122.0,61.0,717.0,6696.0,-6946.4400000000005
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,557.0,37.0,390.0,2169.0,2148.46
2019-08-12,08-12,926.0,54.0,619.0,6393.0,2759.84
2019-08-13,08-13,1035.0,63.0,674.0,7328.0,3041.85
2019-08-14,08-14,1666.0,64.0,946.0,10088.0,8401.74
2019-08-15,08-15,1539.0,100.0,879.0,11527.0,4655.2300000000005
2019-08-16,08-16,819.0,61.0,562.0,6662.0,2273.59
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,1070.0,42.0,658.0,5007.0,3326.3
2019-08-19,08-19,1272.0,68.0,732.0,9423.0,3599.88
2019-08-20,08-20,1458.0,73.0,823.0,9432.0,4402.64
2019-08-21,08-21,1876.0,102.0,965.0,11438.0,18434.440000000002
2019-08-22,08-22,1342.0,93.0,798.0,9236.0,5540.05
2019-08-23,08-23,929.0,55.0,628.0,7734.0,2623.57
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,1200.0,39.0,736.0,4998.0,2839.43
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,3235.0,50.0,1310.0,8566.0,15682.57
2019-08-28,08-28,1305.0,117.0,847.0,6700.0,6112.93
2019-08-29,08-29,1405.0,81.0,777.0,10798.0,3538.23
2019-08-30,08-30,2376.0,107.0,1140.0,9914.0,10831.84
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,1343.0,53.0,825.0,7469.0,3688.45
2019-09-02,09-02,1587.0,78.0,897.0,10214.0,4608.14
2019-09-03,09-03,1140.0,70.0,710.0,8241.0,3456.82
2019-09-04,09-04,2112.0,60.0,1094.0,10278.0,10083.69
2019-09-05,09-05,1779.0,90.0,945.0,10079.0,5506.24
2019-09-06,09-06,1607.0,88.0,926.0,10013.0,5801.75
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,2032.0,78.0,1019.0,11939.0,5891.45
2019-09-09,09-09,1702.0,96.0,916.0,11077.0,5365.92
2019-09-10,09-10,2438.0,82.0,1098.0,14209.0,8955.44
2019-09-11,09-11,1376.0,93.0,870.0,7902.0,4233.44
