date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,62.0,2.0,31.0,411.0,202.42
2019-08-02,08-02,147.0,1.0,143.0,680.0,511.64
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,0.0,0.0,0.0,0.0,0.0
2019-08-05,08-05,59.0,2.0,59.0,389.0,203.91
2019-08-06,08-06,0.0,0.0,0.0,0.0,0.0
2019-08-07,08-07,22.0,2.0,22.0,235.0,1201.2
2019-08-08,08-08,37.0,2.0,35.0,414.0,116.28
2019-08-09,08-09,76.0,2.0,68.0,704.0,241.72
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,1.0,1.0,1.0,0.0,434.51
2019-08-12,08-12,31.0,1.0,31.0,313.0,89.32000000000001
2019-08-13,08-13,4.0,1.0,4.0,8.0,26.740000000000002
2019-08-14,08-14,71.0,3.0,69.0,612.0,294.94
2019-08-15,08-15,19.0,2.0,19.0,49.0,88.37
2019-08-16,08-16,49.0,1.0,49.0,426.0,127.5
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,16.0,1.0,16.0,123.0,115.71000000000001
2019-08-19,08-19,0.0,0.0,0.0,0.0,0.0
2019-08-20,08-20,40.0,3.0,40.0,394.0,128.87
2019-08-21,08-21,0.0,0.0,0.0,0.0,0.0
2019-08-22,08-22,0.0,0.0,0.0,0.0,0.0
2019-08-23,08-23,70.0,2.0,69.0,577.0,291.68
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,0.0,0.0,0.0,0.0,0.0
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,8.0,2.0,8.0,19.0,23.08
2019-08-28,08-28,0.0,0.0,0.0,0.0,0.0
2019-08-29,08-29,21.0,2.0,21.0,293.0,71.61
2019-08-30,08-30,26.0,1.0,25.0,163.0,130.78
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,6.0,1.0,6.0,81.0,7.510000000000001
2019-09-02,09-02,57.0,4.0,55.0,710.0,158.12
2019-09-03,09-03,63.0,2.0,63.0,666.0,285.5
2019-09-04,09-04,188.0,4.0,175.0,1576.0,646.22
2019-09-05,09-05,106.0,2.0,96.0,858.0,383.42
2019-09-06,09-06,6.0,2.0,5.0,18.0,39.3
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,0.0,0.0,0.0,0.0,0.0
2019-09-09,09-09,0.0,0.0,0.0,0.0,0.0
2019-09-10,09-10,0.0,0.0,0.0,0.0,0.0
2019-09-11,09-11,54.0,3.0,53.0,428.0,154.31
2019-09-12,09-12,27.0,3.0,26.0,250.0,173.5
2019-09-13,09-13,0.0,0.0,0.0,0.0,0.0
2019-09-14,09-14,0.0,0.0,0.0,0.0,0.0
2019-09-15,09-15,0.0,0.0,0.0,0.0,0.0
2019-09-16,09-16,25.0,2.0,25.0,150.0,125.3
2019-09-17,09-17,105.0,3.0,104.0,833.0,309.15
2019-09-18,09-18,11.0,1.0,11.0,85.0,237.8
2019-09-19,09-19,72.0,3.0,72.0,563.0,238.77
2019-09-20,09-20,187.0,3.0,185.0,1270.0,737.2
2019-09-21,09-21,0.0,0.0,0.0,0.0,0.0
2019-09-22,09-22,0.0,0.0,0.0,0.0,0.0
2019-09-23,09-23,59.0,2.0,56.0,469.0,275.61
2019-09-24,09-24,19.0,2.0,19.0,200.0,70.95
2019-09-25,09-25,120.0,6.0,117.0,898.0,538.29
2019-09-26,09-26,0.0,0.0,0.0,0.0,0.0
2019-09-27,09-27,63.0,5.0,62.0,576.0,263.85
2019-09-28,09-28,0.0,0.0,0.0,0.0,0.0
2019-09-29,09-29,0.0,0.0,0.0,0.0,0.0
2019-09-30,09-30,0.0,0.0,0.0,0.0,0.0
2019-10-01,10-01,0.0,0.0,0.0,0.0,0.0
2019-10-02,10-02,0.0,0.0,0.0,0.0,0.0
2019-10-03,10-03,24.0,1.0,24.0,194.0,125.48
2019-10-04,10-04,51.0,1.0,51.0,366.0,225.1
2019-10-05,10-05,0.0,0.0,0.0,0.0,0.0
2019-10-06,10-06,0.0,0.0,0.0,0.0,0.0
2019-10-07,10-07,83.0,4.0,83.0,590.0,296.68
2019-10-08,10-08,85.0,3.0,85.0,841.0,174.21
2019-10-09,10-09,151.0,7.0,144.0,1000.0,690.47
2019-10-10,10-10,0.0,0.0,0.0,0.0,0.0
2019-10-11,10-11,19.0,1.0,19.0,166.0,75.47
2019-10-12,10-12,0.0,0.0,0.0,0.0,0.0
2019-10-13,10-13,0.0,0.0,0.0,0.0,0.0
2019-10-14,10-14,140.0,7.0,132.0,1117.0,577.65
2019-10-15,10-15,51.0,2.0,49.0,414.0,193.96
2019-10-16,10-16,58.0,1.0,58.0,495.0,205.69
2019-10-17,10-17,136.0,3.0,134.0,1376.0,323.91
2019-10-18,10-18,53.0,2.0,53.0,398.0,188.2
2019-10-19,10-19,0.0,0.0,0.0,0.0,0.0
2019-10-20,10-20,0.0,0.0,0.0,0.0,0.0
2019-10-21,10-21,17.0,2.0,17.0,132.0,109.86
2019-10-22,10-22,0.0,0.0,0.0,0.0,0.0
2019-10-23,10-23,0.0,0.0,0.0,0.0,0.0
2019-10-24,10-24,3.0,1.0,3.0,5.0,19.45
2019-10-25,10-25,0.0,0.0,0.0,0.0,0.0
2019-10-26,10-26,0.0,0.0,0.0,0.0,0.0
2019-10-27,10-27,21.0,1.0,21.0,159.0,115.5
2019-10-28,10-28,37.0,1.0,37.0,285.0,145.93
2019-10-29,10-29,95.0,2.0,90.0,756.0,334.97
2019-10-30,10-30,2.0,1.0,2.0,7.0,16.75
2019-10-31,10-31,0.0,0.0,0.0,0.0,0.0
2019-11-01,11-01,2.0,2.0,2.0,3.0,4.89
2019-11-02,11-02,0.0,0.0,0.0,0.0,0.0
2019-11-03,11-03,0.0,0.0,0.0,0.0,0.0
2019-11-04,11-04,36.0,4.0,32.0,320.0,281.71999999999997
2019-11-05,11-05,7.0,3.0,7.0,11.0,20.19
2019-11-06,11-06,22.0,2.0,21.0,219.0,51.15
2019-11-07,11-07,48.0,1.0,48.0,339.0,208.67
2019-11-08,11-08,84.0,3.0,78.0,905.0,329.06
2019-11-09,11-09,0.0,0.0,0.0,0.0,0.0
2019-11-10,11-10,133.0,4.0,126.0,1268.0,441.79
2019-11-11,11-11,23.0,1.0,23.0,177.0,114.19
2019-11-12,11-12,73.0,5.0,66.0,634.0,388.63
2019-11-13,11-13,48.0,3.0,45.0,513.0,229.15
2019-11-14,11-14,77.0,2.0,77.0,568.0,310.53000000000003
2019-11-15,11-15,55.0,3.0,51.0,293.0,230.85
2019-11-16,11-16,0.0,0.0,0.0,0.0,0.0
2019-11-17,11-17,41.0,1.0,41.0,353.0,150.85999999999999
2019-11-18,11-18,51.0,2.0,51.0,452.0,139.42000000000002
2019-11-19,11-19,91.0,4.0,87.0,760.0,328.07
2019-11-20,11-20,12.0,2.0,12.0,70.0,92.67
2019-11-21,11-21,10.0,1.0,10.0,67.0,82.43
2019-11-22,11-22,6.0,1.0,6.0,48.0,71.52
2019-11-23,11-23,0.0,0.0,0.0,0.0,0.0
2019-11-24,11-24,22.0,1.0,22.0,208.0,88.58
2019-11-25,11-25,102.0,2.0,99.0,875.0,346.51
2019-11-26,11-26,0.0,0.0,0.0,0.0,0.0
2019-11-27,11-27,58.0,3.0,53.0,408.0,345.95
2019-11-28,11-28,50.0,5.0,48.0,376.0,296.28
2019-11-29,11-29,0.0,0.0,0.0,0.0,0.0
2019-11-30,11-30,0.0,0.0,0.0,0.0,0.0
2019-12-01,12-01,30.0,1.0,30.0,317.0,49.620000000000005
2019-12-02,12-02,17.0,2.0,17.0,158.0,111.8
2019-12-03,12-03,0.0,0.0,0.0,0.0,0.0
2019-12-04,12-04,166.0,3.0,161.0,1515.0,538.6899999999999
2019-12-05,12-05,72.0,1.0,72.0,637.0,218.66
2019-12-06,12-06,0.0,0.0,0.0,0.0,0.0
