date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,34.0,1.0,34.0,281.0,92.84
2019-08-02,08-02,35.0,2.0,34.0,327.0,101.24
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,0.0,0.0,0.0,0.0,0.0
2019-08-05,08-05,0.0,0.0,0.0,0.0,0.0
2019-08-06,08-06,0.0,0.0,0.0,0.0,0.0
2019-08-07,08-07,14.0,1.0,14.0,136.0,21.1
2019-08-08,08-08,0.0,0.0,0.0,0.0,0.0
2019-08-09,08-09,27.0,2.0,27.0,159.0,98.69
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,2.0,1.0,2.0,3.0,29.7
2019-08-12,08-12,37.0,1.0,37.0,308.0,157.07999999999998
2019-08-13,08-13,0.0,0.0,0.0,0.0,0.0
2019-08-14,08-14,29.0,1.0,29.0,303.0,53.78
2019-08-15,08-15,46.0,2.0,43.0,385.0,149.57
2019-08-16,08-16,35.0,1.0,35.0,376.0,76.32
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,30.0,2.0,28.0,245.0,115.96
2019-08-19,08-19,0.0,0.0,0.0,0.0,0.0
2019-08-20,08-20,44.0,2.0,42.0,377.0,129.04
2019-08-21,08-21,23.0,2.0,23.0,172.0,90.36
2019-08-22,08-22,122.0,4.0,111.0,1195.0,311.06
2019-08-23,08-23,48.0,1.0,48.0,483.0,109.87
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,0.0,0.0,0.0,0.0,0.0
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,0.0,0.0,0.0,0.0,0.0
2019-08-28,08-28,32.0,4.0,28.0,316.0,245.56
2019-08-29,08-29,0.0,0.0,0.0,0.0,0.0
2019-08-30,08-30,37.0,3.0,36.0,359.0,126.3
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,50.0,1.0,50.0,400.0,151.17000000000002
2019-09-02,09-02,37.0,3.0,36.0,271.0,158.98
2019-09-03,09-03,0.0,0.0,0.0,0.0,0.0
2019-09-04,09-04,135.0,3.0,114.0,1299.0,321.72
2019-09-05,09-05,87.0,2.0,84.0,742.0,218.27
2019-09-06,09-06,105.0,3.0,95.0,952.0,292.87
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,7.0,1.0,7.0,43.0,34.99
2019-09-09,09-09,0.0,0.0,0.0,0.0,0.0
2019-09-10,09-10,2.0,1.0,2.0,1.0,19.06
2019-09-11,09-11,21.0,1.0,21.0,222.0,35.04
2019-09-12,09-12,50.0,4.0,49.0,506.0,208.71
2019-09-13,09-13,1.0,1.0,1.0,0.0,4.25
2019-09-14,09-14,0.0,0.0,0.0,0.0,0.0
2019-09-15,09-15,0.0,0.0,0.0,0.0,0.0
2019-09-16,09-16,108.0,4.0,96.0,757.0,434.07
2019-09-17,09-17,24.0,1.0,24.0,198.0,58.78
2019-09-18,09-18,60.0,4.0,55.0,495.0,168.82
2019-09-19,09-19,78.0,5.0,71.0,604.0,307.05
2019-09-20,09-20,38.0,1.0,38.0,321.0,99.88
2019-09-21,09-21,0.0,0.0,0.0,0.0,0.0
2019-09-22,09-22,35.0,2.0,35.0,221.0,164.65
2019-09-23,09-23,2.0,1.0,2.0,1.0,5.0
2019-09-24,09-24,13.0,3.0,13.0,70.0,64.1
2019-09-25,09-25,29.0,1.0,29.0,219.0,100.98
2019-09-26,09-26,79.0,4.0,72.0,709.0,232.43
2019-09-27,09-27,57.0,3.0,52.0,632.0,186.6
2019-09-28,09-28,0.0,0.0,0.0,0.0,0.0
2019-09-29,09-29,0.0,0.0,0.0,0.0,0.0
2019-09-30,09-30,77.0,1.0,66.0,158.0,192.27
2019-10-01,10-01,15.0,2.0,15.0,115.0,70.24
2019-10-02,10-02,143.0,4.0,135.0,1032.0,447.72
2019-10-03,10-03,10.0,2.0,10.0,30.0,62.3
2019-10-04,10-04,38.0,2.0,36.0,363.0,88.44
2019-10-05,10-05,0.0,0.0,0.0,0.0,0.0
2019-10-06,10-06,0.0,0.0,0.0,0.0,0.0
2019-10-07,10-07,25.0,3.0,24.0,203.0,86.44
2019-10-08,10-08,262.0,2.0,262.0,2220.0,756.16
2019-10-09,10-09,52.0,5.0,45.0,453.0,184.21
2019-10-10,10-10,12.0,1.0,12.0,99.0,48.68
2019-10-11,10-11,29.0,2.0,29.0,223.0,108.78
2019-10-12,10-12,0.0,0.0,0.0,0.0,0.0
2019-10-13,10-13,0.0,0.0,0.0,0.0,0.0
2019-10-14,10-14,1.0,1.0,1.0,2.0,1.06
2019-10-15,10-15,2.0,2.0,1.0,5.0,2.12
2019-10-16,10-16,35.0,2.0,34.0,291.0,150.91
2019-10-17,10-17,39.0,1.0,39.0,420.0,107.74000000000001
2019-10-18,10-18,0.0,0.0,0.0,0.0,0.0
2019-10-19,10-19,0.0,0.0,0.0,0.0,0.0
2019-10-20,10-20,0.0,0.0,0.0,0.0,0.0
2019-10-21,10-21,0.0,0.0,0.0,0.0,0.0
2019-10-22,10-22,0.0,0.0,0.0,0.0,0.0
2019-10-23,10-23,0.0,0.0,0.0,0.0,0.0
2019-10-24,10-24,53.0,7.0,47.0,354.0,12701.820000000002
2019-10-25,10-25,63.0,3.0,63.0,780.0,257.26
2019-10-26,10-26,0.0,0.0,0.0,0.0,0.0
2019-10-27,10-27,15.0,1.0,15.0,153.0,44.61
2019-10-28,10-28,27.0,2.0,26.0,241.0,46.19
2019-10-29,10-29,72.0,4.0,67.0,558.0,251.82
2019-10-30,10-30,22.0,1.0,22.0,203.0,80.48
2019-10-31,10-31,87.0,5.0,83.0,747.0,238.82
2019-11-01,11-01,81.0,3.0,75.0,329.0,156.55
2019-11-02,11-02,0.0,0.0,0.0,0.0,0.0
2019-11-03,11-03,0.0,0.0,0.0,0.0,0.0
2019-11-04,11-04,31.0,1.0,31.0,161.0,88.75
2019-11-05,11-05,60.0,3.0,59.0,532.0,163.84
2019-11-06,11-06,54.0,2.0,53.0,474.0,183.62
