date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,56.0,3.0,55.0,478.0,210.35
2019-08-02,08-02,56.0,3.0,55.0,462.0,159.13
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,6.0,1.0,6.0,60.0,12.26
2019-08-05,08-05,19.0,1.0,19.0,176.0,56.21
2019-08-06,08-06,5.0,1.0,5.0,35.0,29.439999999999998
2019-08-07,08-07,0.0,0.0,0.0,0.0,0.0
2019-08-08,08-08,1.0,1.0,1.0,2.0,9.95
2019-08-09,08-09,4.0,1.0,4.0,10.0,12.95
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,0.0,0.0,0.0,0.0,0.0
2019-08-12,08-12,11.0,1.0,11.0,106.0,29.64
2019-08-13,08-13,5.0,1.0,5.0,22.0,35.3
2019-08-14,08-14,39.0,2.0,38.0,331.0,151.98
2019-08-15,08-15,0.0,0.0,0.0,0.0,0.0
2019-08-16,08-16,34.0,4.0,32.0,283.0,128.74
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,18.0,1.0,18.0,175.0,51.17
2019-08-19,08-19,79.0,3.0,75.0,706.0,226.33
2019-08-20,08-20,37.0,4.0,36.0,311.0,102.07000000000001
2019-08-21,08-21,90.0,8.0,72.0,839.0,278.9
2019-08-22,08-22,15.0,2.0,14.0,78.0,74.62
2019-08-23,08-23,29.0,2.0,28.0,214.0,92.75
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,0.0,0.0,0.0,0.0,0.0
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,21.0,1.0,21.0,133.0,126.23
2019-08-28,08-28,146.0,3.0,142.0,1238.0,552.86
2019-08-29,08-29,2.0,2.0,2.0,3.0,10.6
2019-08-30,08-30,34.0,3.0,34.0,244.0,94.2
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,133.0,5.0,119.0,1047.0,349.81
2019-09-02,09-02,4.0,1.0,4.0,11.0,15.64
2019-09-03,09-03,55.0,4.0,52.0,478.0,188.51
2019-09-04,09-04,0.0,0.0,0.0,0.0,0.0
2019-09-05,09-05,39.0,4.0,35.0,429.0,142.64
2019-09-06,09-06,8.0,2.0,8.0,20.0,29.81
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,95.0,3.0,88.0,758.0,319.27
2019-09-09,09-09,0.0,0.0,0.0,0.0,0.0
2019-09-10,09-10,7.0,1.0,7.0,66.0,24.4
2019-09-11,09-11,19.0,1.0,19.0,172.0,74.17
2019-09-12,09-12,0.0,0.0,0.0,0.0,0.0
2019-09-13,09-13,42.0,5.0,38.0,371.0,177.78
2019-09-14,09-14,0.0,0.0,0.0,0.0,0.0
2019-09-15,09-15,0.0,0.0,0.0,0.0,0.0
2019-09-16,09-16,43.0,5.0,40.0,354.0,148.57
2019-09-17,09-17,10.0,2.0,10.0,88.0,17.3
2019-09-18,09-18,63.0,2.0,59.0,584.0,166.96
2019-09-19,09-19,28.0,3.0,25.0,236.0,121.46000000000001
2019-09-20,09-20,97.0,4.0,88.0,905.0,264.03
2019-09-21,09-21,0.0,0.0,0.0,0.0,0.0
2019-09-22,09-22,0.0,0.0,0.0,0.0,0.0
2019-09-23,09-23,19.0,1.0,19.0,174.0,84.34
2019-09-24,09-24,25.0,2.0,25.0,191.0,71.44
2019-09-25,09-25,22.0,3.0,22.0,145.0,101.05
2019-09-26,09-26,45.0,3.0,42.0,400.0,124.27
2019-09-27,09-27,17.0,1.0,17.0,132.0,56.72
2019-09-28,09-28,0.0,0.0,0.0,0.0,0.0
