date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,0.0,0.0,0.0,0.0,0.0
2019-08-02,08-02,0.0,0.0,0.0,0.0,0.0
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,0.0,0.0,0.0,0.0,0.0
2019-08-05,08-05,0.0,0.0,0.0,0.0,0.0
2019-08-06,08-06,106.0,2.0,106.0,1111.0,206.41
2019-08-07,08-07,0.0,0.0,0.0,0.0,0.0
2019-08-08,08-08,119.0,1.0,119.0,1577.0,269.39
2019-08-09,08-09,7.0,1.0,7.0,102.0,5.59
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,0.0,0.0,0.0,0.0,0.0
2019-08-12,08-12,0.0,0.0,0.0,0.0,0.0
2019-08-13,08-13,0.0,0.0,0.0,0.0,0.0
2019-08-14,08-14,0.0,0.0,0.0,0.0,0.0
2019-08-15,08-15,1.0,1.0,1.0,0.0,206.4
2019-08-16,08-16,0.0,0.0,0.0,0.0,0.0
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,0.0,0.0,0.0,0.0,0.0
2019-08-19,08-19,0.0,0.0,0.0,0.0,0.0
2019-08-20,08-20,2.0,1.0,2.0,14.0,2.95
2019-08-21,08-21,0.0,0.0,0.0,0.0,0.0
2019-08-22,08-22,0.0,0.0,0.0,0.0,0.0
2019-08-23,08-23,46.0,3.0,44.0,578.0,121.98
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,0.0,0.0,0.0,0.0,0.0
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,0.0,0.0,0.0,0.0,0.0
2019-08-28,08-28,3.0,1.0,3.0,3.0,2.72
2019-08-29,08-29,0.0,0.0,0.0,0.0,0.0
2019-08-30,08-30,0.0,0.0,0.0,0.0,0.0
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,0.0,0.0,0.0,0.0,0.0
2019-09-02,09-02,0.0,0.0,0.0,0.0,0.0
2019-09-03,09-03,0.0,0.0,0.0,0.0,0.0
2019-09-04,09-04,0.0,0.0,0.0,0.0,0.0
2019-09-05,09-05,52.0,2.0,52.0,523.0,129.23
2019-09-06,09-06,8.0,1.0,8.0,111.0,26.04
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,0.0,0.0,0.0,0.0,0.0
2019-09-09,09-09,0.0,0.0,0.0,0.0,0.0
2019-09-10,09-10,57.0,1.0,57.0,758.0,347.02
2019-09-11,09-11,0.0,0.0,0.0,0.0,0.0
2019-09-12,09-12,0.0,0.0,0.0,0.0,0.0
2019-09-13,09-13,0.0,0.0,0.0,0.0,0.0
2019-09-14,09-14,0.0,0.0,0.0,0.0,0.0
2019-09-15,09-15,0.0,0.0,0.0,0.0,0.0
2019-09-16,09-16,104.0,2.0,103.0,1313.0,365.15000000000003
2019-09-17,09-17,0.0,0.0,0.0,0.0,0.0
2019-09-18,09-18,0.0,0.0,0.0,0.0,0.0
2019-09-19,09-19,21.0,1.0,21.0,191.0,49.730000000000004
2019-09-20,09-20,0.0,0.0,0.0,0.0,0.0
2019-09-21,09-21,0.0,0.0,0.0,0.0,0.0
2019-09-22,09-22,0.0,0.0,0.0,0.0,0.0
2019-09-23,09-23,0.0,0.0,0.0,0.0,0.0
2019-09-24,09-24,0.0,0.0,0.0,0.0,0.0
2019-09-25,09-25,0.0,0.0,0.0,0.0,0.0
2019-09-26,09-26,0.0,0.0,0.0,0.0,0.0
2019-09-27,09-27,0.0,0.0,0.0,0.0,0.0
2019-09-28,09-28,0.0,0.0,0.0,0.0,0.0
2019-09-29,09-29,0.0,0.0,0.0,0.0,0.0
2019-09-30,09-30,0.0,0.0,0.0,0.0,0.0
2019-10-01,10-01,0.0,0.0,0.0,0.0,0.0
2019-10-02,10-02,4.0,1.0,4.0,4.0,91.85
2019-10-03,10-03,23.0,3.0,22.0,115.0,67.18
2019-10-04,10-04,11.0,1.0,11.0,145.0,25.35
2019-10-05,10-05,0.0,0.0,0.0,0.0,0.0
2019-10-06,10-06,0.0,0.0,0.0,0.0,0.0
2019-10-07,10-07,0.0,0.0,0.0,0.0,0.0
2019-10-08,10-08,0.0,0.0,0.0,0.0,0.0
2019-10-09,10-09,0.0,0.0,0.0,0.0,0.0
2019-10-10,10-10,0.0,0.0,0.0,0.0,0.0
2019-10-11,10-11,0.0,0.0,0.0,0.0,0.0
2019-10-12,10-12,0.0,0.0,0.0,0.0,0.0
2019-10-13,10-13,0.0,0.0,0.0,0.0,0.0
2019-10-14,10-14,0.0,0.0,0.0,0.0,0.0
2019-10-15,10-15,29.0,1.0,29.0,235.0,103.69
2019-10-16,10-16,0.0,0.0,0.0,0.0,0.0
2019-10-17,10-17,146.0,3.0,145.0,1733.0,363.47
2019-10-18,10-18,37.0,3.0,37.0,323.0,83.86
2019-10-19,10-19,0.0,0.0,0.0,0.0,0.0
2019-10-20,10-20,0.0,0.0,0.0,0.0,0.0
2019-10-21,10-21,0.0,0.0,0.0,0.0,0.0
2019-10-22,10-22,0.0,0.0,0.0,0.0,0.0
2019-10-23,10-23,0.0,0.0,0.0,0.0,0.0
2019-10-24,10-24,28.0,3.0,28.0,369.0,49.230000000000004
2019-10-25,10-25,0.0,0.0,0.0,0.0,0.0
2019-10-26,10-26,0.0,0.0,0.0,0.0,0.0
2019-10-27,10-27,0.0,0.0,0.0,0.0,0.0
2019-10-28,10-28,0.0,0.0,0.0,0.0,0.0
2019-10-29,10-29,0.0,0.0,0.0,0.0,0.0
2019-10-30,10-30,70.0,3.0,70.0,418.0,137.43
2019-10-31,10-31,0.0,0.0,0.0,0.0,0.0
2019-11-01,11-01,0.0,0.0,0.0,0.0,0.0
2019-11-02,11-02,0.0,0.0,0.0,0.0,0.0
2019-11-03,11-03,0.0,0.0,0.0,0.0,0.0
2019-11-04,11-04,0.0,0.0,0.0,0.0,0.0
2019-11-05,11-05,0.0,0.0,0.0,0.0,0.0
2019-11-06,11-06,0.0,0.0,0.0,0.0,0.0
2019-11-07,11-07,65.0,3.0,64.0,839.0,169.98
2019-11-08,11-08,0.0,0.0,0.0,0.0,0.0
2019-11-09,11-09,0.0,0.0,0.0,0.0,0.0
2019-11-10,11-10,0.0,0.0,0.0,0.0,0.0
2019-11-11,11-11,0.0,0.0,0.0,0.0,0.0
2019-11-12,11-12,0.0,0.0,0.0,0.0,0.0
2019-11-13,11-13,3.0,1.0,3.0,35.0,18.2
2019-11-14,11-14,0.0,0.0,0.0,0.0,0.0
2019-11-15,11-15,2.0,1.0,2.0,25.0,19.25
2019-11-16,11-16,0.0,0.0,0.0,0.0,0.0
2019-11-17,11-17,9.0,2.0,8.0,86.0,40.97
2019-11-18,11-18,0.0,0.0,0.0,0.0,0.0
2019-11-19,11-19,19.0,2.0,18.0,195.0,72.33
2019-11-20,11-20,54.0,3.0,54.0,589.0,142.4
2019-11-21,11-21,0.0,0.0,0.0,0.0,0.0
2019-11-22,11-22,0.0,0.0,0.0,0.0,0.0
2019-11-23,11-23,0.0,0.0,0.0,0.0,0.0
2019-11-24,11-24,0.0,0.0,0.0,0.0,0.0
2019-11-25,11-25,0.0,0.0,0.0,0.0,0.0
2019-11-26,11-26,0.0,0.0,0.0,0.0,0.0
2019-11-27,11-27,4.0,1.0,4.0,39.0,21.240000000000002
2019-11-28,11-28,0.0,0.0,0.0,0.0,0.0
2019-11-29,11-29,0.0,0.0,0.0,0.0,0.0
2019-11-30,11-30,0.0,0.0,0.0,0.0,0.0
2019-12-01,12-01,0.0,0.0,0.0,0.0,0.0
2019-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2019-12-03,12-03,0.0,0.0,0.0,0.0,0.0
2019-12-04,12-04,85.0,2.0,83.0,1060.0,199.6
2019-12-05,12-05,1.0,1.0,1.0,3.0,1.79
2019-12-06,12-06,0.0,0.0,0.0,0.0,0.0
