date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,0.0,0.0,0.0,0.0,0.0
2019-08-02,08-02,0.0,0.0,0.0,0.0,0.0
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,0.0,0.0,0.0,0.0,0.0
2019-08-05,08-05,0.0,0.0,0.0,0.0,0.0
2019-08-06,08-06,0.0,0.0,0.0,0.0,0.0
2019-08-07,08-07,0.0,0.0,0.0,0.0,0.0
2019-08-08,08-08,0.0,0.0,0.0,0.0,0.0
2019-08-09,08-09,0.0,0.0,0.0,0.0,0.0
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,0.0,0.0,0.0,0.0,0.0
2019-08-12,08-12,0.0,0.0,0.0,0.0,0.0
2019-08-13,08-13,0.0,0.0,0.0,0.0,0.0
2019-08-14,08-14,0.0,0.0,0.0,0.0,0.0
2019-08-15,08-15,0.0,0.0,0.0,0.0,0.0
2019-08-16,08-16,0.0,0.0,0.0,0.0,0.0
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,0.0,0.0,0.0,0.0,0.0
2019-08-19,08-19,0.0,0.0,0.0,0.0,0.0
2019-08-20,08-20,0.0,0.0,0.0,0.0,0.0
2019-08-21,08-21,0.0,0.0,0.0,0.0,0.0
2019-08-22,08-22,0.0,0.0,0.0,0.0,0.0
2019-08-23,08-23,0.0,0.0,0.0,0.0,0.0
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,0.0,0.0,0.0,0.0,0.0
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,0.0,0.0,0.0,0.0,0.0
2019-08-28,08-28,0.0,0.0,0.0,0.0,0.0
2019-08-29,08-29,0.0,0.0,0.0,0.0,0.0
2019-08-30,08-30,0.0,0.0,0.0,0.0,0.0
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,0.0,0.0,0.0,0.0,0.0
2019-09-02,09-02,0.0,0.0,0.0,0.0,0.0
2019-09-03,09-03,0.0,0.0,0.0,0.0,0.0
2019-09-04,09-04,0.0,0.0,0.0,0.0,0.0
2019-09-05,09-05,0.0,0.0,0.0,0.0,0.0
2019-09-06,09-06,0.0,0.0,0.0,0.0,0.0
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,0.0,0.0,0.0,0.0,0.0
2019-09-09,09-09,0.0,0.0,0.0,0.0,0.0
2019-09-10,09-10,0.0,0.0,0.0,0.0,0.0
2019-09-11,09-11,0.0,0.0,0.0,0.0,0.0
2019-09-12,09-12,0.0,0.0,0.0,0.0,0.0
2019-09-13,09-13,0.0,0.0,0.0,0.0,0.0
2019-09-14,09-14,0.0,0.0,0.0,0.0,0.0
2019-09-15,09-15,0.0,0.0,0.0,0.0,0.0
2019-09-16,09-16,0.0,0.0,0.0,0.0,0.0
2019-09-17,09-17,0.0,0.0,0.0,0.0,0.0
2019-09-18,09-18,0.0,0.0,0.0,0.0,0.0
2019-09-19,09-19,0.0,0.0,0.0,0.0,0.0
2019-09-20,09-20,0.0,0.0,0.0,0.0,0.0
2019-09-21,09-21,0.0,0.0,0.0,0.0,0.0
2019-09-22,09-22,0.0,0.0,0.0,0.0,0.0
2019-09-23,09-23,0.0,0.0,0.0,0.0,0.0
2019-09-24,09-24,0.0,0.0,0.0,0.0,0.0
2019-09-25,09-25,0.0,0.0,0.0,0.0,0.0
2019-09-26,09-26,0.0,0.0,0.0,0.0,0.0
2019-09-27,09-27,0.0,0.0,0.0,0.0,0.0
2019-09-28,09-28,0.0,0.0,0.0,0.0,0.0
2019-09-29,09-29,0.0,0.0,0.0,0.0,0.0
2019-09-30,09-30,0.0,0.0,0.0,0.0,0.0
2019-10-01,10-01,0.0,0.0,0.0,0.0,0.0
2019-10-02,10-02,0.0,0.0,0.0,0.0,0.0
2019-10-03,10-03,0.0,0.0,0.0,0.0,0.0
2019-10-04,10-04,0.0,0.0,0.0,0.0,0.0
2019-10-05,10-05,0.0,0.0,0.0,0.0,0.0
2019-10-06,10-06,0.0,0.0,0.0,0.0,0.0
2019-10-07,10-07,0.0,0.0,0.0,0.0,0.0
2019-10-08,10-08,0.0,0.0,0.0,0.0,0.0
2019-10-09,10-09,0.0,0.0,0.0,0.0,0.0
2019-10-10,10-10,0.0,0.0,0.0,0.0,0.0
2019-10-11,10-11,32.0,1.0,32.0,256.0,169.36
2019-10-12,10-12,0.0,0.0,0.0,0.0,0.0
2019-10-13,10-13,0.0,0.0,0.0,0.0,0.0
2019-10-14,10-14,0.0,0.0,0.0,0.0,0.0
2019-10-15,10-15,0.0,0.0,0.0,0.0,0.0
2019-10-16,10-16,4.0,2.0,1.0,6.0,12136.119999999999
2019-10-17,10-17,0.0,0.0,0.0,0.0,0.0
2019-10-18,10-18,0.0,0.0,0.0,0.0,0.0
2019-10-19,10-19,0.0,0.0,0.0,0.0,0.0
2019-10-20,10-20,0.0,0.0,0.0,0.0,0.0
2019-10-21,10-21,0.0,0.0,0.0,0.0,0.0
2019-10-22,10-22,0.0,0.0,0.0,0.0,0.0
2019-10-23,10-23,0.0,0.0,0.0,0.0,0.0
2019-10-24,10-24,0.0,0.0,0.0,0.0,0.0
2019-10-25,10-25,0.0,0.0,0.0,0.0,0.0
2019-10-26,10-26,0.0,0.0,0.0,0.0,0.0
2019-10-27,10-27,0.0,0.0,0.0,0.0,0.0
2019-10-28,10-28,0.0,0.0,0.0,0.0,0.0
2019-10-29,10-29,0.0,0.0,0.0,0.0,0.0
2019-10-30,10-30,0.0,0.0,0.0,0.0,0.0
2019-10-31,10-31,0.0,0.0,0.0,0.0,0.0
2019-11-01,11-01,0.0,0.0,0.0,0.0,0.0
2019-11-02,11-02,0.0,0.0,0.0,0.0,0.0
2019-11-03,11-03,0.0,0.0,0.0,0.0,0.0
2019-11-04,11-04,0.0,0.0,0.0,0.0,0.0
2019-11-05,11-05,0.0,0.0,0.0,0.0,0.0
2019-11-06,11-06,0.0,0.0,0.0,0.0,0.0
2019-11-07,11-07,0.0,0.0,0.0,0.0,0.0
2019-11-08,11-08,0.0,0.0,0.0,0.0,0.0
2019-11-09,11-09,0.0,0.0,0.0,0.0,0.0
2019-11-10,11-10,0.0,0.0,0.0,0.0,0.0
2019-11-11,11-11,0.0,0.0,0.0,0.0,0.0
2019-11-12,11-12,0.0,0.0,0.0,0.0,0.0
2019-11-13,11-13,0.0,0.0,0.0,0.0,0.0
2019-11-14,11-14,0.0,0.0,0.0,0.0,0.0
2019-11-15,11-15,0.0,0.0,0.0,0.0,0.0
2019-11-16,11-16,0.0,0.0,0.0,0.0,0.0
2019-11-17,11-17,0.0,0.0,0.0,0.0,0.0
2019-11-18,11-18,0.0,0.0,0.0,0.0,0.0
2019-11-19,11-19,0.0,0.0,0.0,0.0,0.0
2019-11-20,11-20,0.0,0.0,0.0,0.0,0.0
2019-11-21,11-21,0.0,0.0,0.0,0.0,0.0
2019-11-22,11-22,0.0,0.0,0.0,0.0,0.0
2019-11-23,11-23,0.0,0.0,0.0,0.0,0.0
2019-11-24,11-24,0.0,0.0,0.0,0.0,0.0
2019-11-25,11-25,0.0,0.0,0.0,0.0,0.0
2019-11-26,11-26,0.0,0.0,0.0,0.0,0.0
2019-11-27,11-27,0.0,0.0,0.0,0.0,0.0
2019-11-28,11-28,0.0,0.0,0.0,0.0,0.0
2019-11-29,11-29,0.0,0.0,0.0,0.0,0.0
2019-11-30,11-30,0.0,0.0,0.0,0.0,0.0
2019-12-01,12-01,0.0,0.0,0.0,0.0,0.0
2019-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2019-12-03,12-03,0.0,0.0,0.0,0.0,0.0
2019-12-04,12-04,0.0,0.0,0.0,0.0,0.0
2019-12-05,12-05,0.0,0.0,0.0,0.0,0.0
2019-12-06,12-06,0.0,0.0,0.0,0.0,0.0
