date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2019-08-01,08-01,1606.0,85.0,841.0,10580.0,5496.38
2019-08-02,08-02,1163.0,59.0,730.0,5928.0,3631.15
2019-08-03,08-03,0.0,0.0,0.0,0.0,0.0
2019-08-04,08-04,535.0,32.0,404.0,3172.0,1298.49
2019-08-05,08-05,1347.0,51.0,781.0,6748.0,7920.31
2019-08-06,08-06,1005.0,56.0,622.0,5615.0,3999.9700000000003
2019-08-07,08-07,1273.0,55.0,801.0,6268.0,4821.35
2019-08-08,08-08,1771.0,78.0,1004.0,10761.0,13649.68
2019-08-09,08-09,924.0,52.0,652.0,4978.0,-7602.19
2019-08-10,08-10,0.0,0.0,0.0,0.0,0.0
2019-08-11,08-11,553.0,34.0,388.0,2166.0,1679.3
2019-08-12,08-12,761.0,49.0,544.0,4853.0,2240.37
2019-08-13,08-13,970.0,58.0,649.0,7160.0,2780.79
2019-08-14,08-14,1515.0,56.0,884.0,8703.0,7854.88
2019-08-15,08-15,1204.0,92.0,721.0,8426.0,3282.59
2019-08-16,08-16,593.0,50.0,435.0,4707.0,1558.34
2019-08-17,08-17,0.0,0.0,0.0,0.0,0.0
2019-08-18,08-18,998.0,35.0,631.0,4401.0,3010.7
2019-08-19,08-19,1160.0,62.0,693.0,8499.0,3156.89
2019-08-20,08-20,1150.0,55.0,702.0,6951.0,3030.38
2019-08-21,08-21,1745.0,91.0,936.0,10212.0,18001.82
2019-08-22,08-22,1122.0,82.0,716.0,7386.0,4779.46
2019-08-23,08-23,716.0,46.0,496.0,5729.0,1894.98
2019-08-24,08-24,0.0,0.0,0.0,0.0,0.0
2019-08-25,08-25,1078.0,38.0,664.0,4366.0,2535.15
2019-08-26,08-26,0.0,0.0,0.0,0.0,0.0
2019-08-27,08-27,3202.0,45.0,1303.0,8388.0,15480.07
2019-08-28,08-28,1091.0,105.0,751.0,4963.0,5190.6
2019-08-29,08-29,1320.0,73.0,746.0,9887.0,3245.65
2019-08-30,08-30,2150.0,94.0,1084.0,8323.0,10167.61
2019-08-31,08-31,0.0,0.0,0.0,0.0,0.0
2019-09-01,09-01,1154.0,46.0,738.0,5941.0,3179.96
2019-09-02,09-02,1412.0,66.0,814.0,8728.0,3819.9
2019-09-03,09-03,1021.0,63.0,659.0,7092.0,2942.81
2019-09-04,09-04,1789.0,53.0,1007.0,7403.0,9115.75
2019-09-05,09-05,1472.0,79.0,851.0,7361.0,4502.68
2019-09-06,09-06,1327.0,77.0,822.0,7499.0,4958.61
2019-09-07,09-07,0.0,0.0,0.0,0.0,0.0
2019-09-08,09-08,1930.0,74.0,987.0,11138.0,5537.19
2019-09-09,09-09,1702.0,96.0,916.0,11077.0,5365.92
