date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,3223.0,166.0,1345.0,15047.0,14450.54
2017-11-29,11-29,3277.0,133.0,1397.0,14159.0,13411.960000000001
2017-11-30,11-30,3002.0,150.0,1335.0,15766.0,13290.25
2017-12-01,12-01,2559.0,107.0,1256.0,12524.0,9687.28
2017-12-02,12-02,402.0,32.0,287.0,3313.0,1443.26
2017-12-03,12-03,1942.0,90.0,977.0,8544.0,6432.94
2017-12-04,12-04,2869.0,123.0,1354.0,12751.0,13137.5
2017-12-05,12-05,2440.0,170.0,1196.0,12604.0,9467.01
2017-12-06,12-06,2470.0,114.0,1308.0,10510.0,11268.54
2017-12-07,12-07,2492.0,123.0,1229.0,11985.0,10976.6
2017-12-08,12-08,1542.0,121.0,876.0,7922.0,4898.32
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,1776.0,77.0,980.0,8521.0,4982.87
2017-12-11,12-11,4117.0,122.0,1596.0,17017.0,19866.98
2017-12-12,12-12,2004.0,123.0,1031.0,11127.0,10012.13
2017-12-13,12-13,3216.0,106.0,1421.0,14280.0,15879.66
2017-12-14,12-14,1965.0,162.0,1067.0,9505.0,7701.58
2017-12-15,12-15,2057.0,84.0,1123.0,8973.0,10970.56
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,637.0,40.0,468.0,4013.0,1964.79
2017-12-18,12-18,645.0,52.0,467.0,3212.0,2846.58
2017-12-19,12-19,2053.0,203.0,1146.0,5218.0,13350.1
2017-12-20,12-20,540.0,32.0,377.0,3028.0,2268.31
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,668.0,70.0,521.0,3005.0,1966.55
2018-01-02,01-02,938.0,46.0,634.0,5603.0,3061.27
2018-01-03,01-03,294.0,14.0,250.0,1994.0,965.85
2018-01-04,01-04,1065.0,87.0,695.0,8499.0,3373.16
2018-01-05,01-05,719.0,49.0,505.0,5463.0,4979.93
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,704.0,37.0,489.0,4702.0,2080.1
2018-01-08,01-08,2688.0,74.0,1082.0,8682.0,14429.4
2018-01-09,01-09,1107.0,65.0,775.0,5678.0,3799.58
2018-01-10,01-10,1644.0,64.0,927.0,5706.0,11600.81
2018-01-11,01-11,2230.0,87.0,1062.0,9615.0,12228.63
