date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,86.0,3.0,83.0,545.0,375.99
2017-11-29,11-29,0.0,0.0,0.0,0.0,0.0
2017-11-30,11-30,33.0,1.0,33.0,192.0,194.22
2017-12-01,12-01,0.0,0.0,0.0,0.0,0.0
2017-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2017-12-03,12-03,0.0,0.0,0.0,0.0,0.0
2017-12-04,12-04,64.0,4.0,61.0,403.0,484.65
2017-12-05,12-05,30.0,5.0,30.0,255.0,97.35000000000001
2017-12-06,12-06,0.0,0.0,0.0,0.0,0.0
2017-12-07,12-07,19.0,1.0,19.0,104.0,133.31
2017-12-08,12-08,2.0,2.0,2.0,7.0,20.9
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,14.0,1.0,14.0,126.0,96.24
2017-12-11,12-11,5.0,1.0,5.0,7.0,17.7
2017-12-12,12-12,100.0,2.0,89.0,733.0,435.58
2017-12-13,12-13,49.0,1.0,49.0,359.0,153.41
2017-12-14,12-14,2.0,2.0,1.0,1.0,1606.5
2017-12-15,12-15,156.0,5.0,134.0,1132.0,733.6
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,1.0,1.0,1.0,0.0,5.95
2017-12-18,12-18,35.0,1.0,35.0,408.0,77.69
2017-12-19,12-19,0.0,0.0,0.0,0.0,0.0
2017-12-20,12-20,0.0,0.0,0.0,0.0,0.0
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,2.0,1.0,2.0,4.0,14.0
2018-01-02,01-02,0.0,0.0,0.0,0.0,0.0
2018-01-03,01-03,0.0,0.0,0.0,0.0,0.0
2018-01-04,01-04,163.0,5.0,158.0,1826.0,466.55
2018-01-05,01-05,33.0,4.0,31.0,260.0,2463.67
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,0.0,0.0,0.0,0.0,0.0
2018-01-08,01-08,1.0,1.0,1.0,8.0,10.95
