date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,41.0,3.0,38.0,343.0,134.25
2017-11-29,11-29,29.0,2.0,28.0,240.0,120.02
2017-11-30,11-30,31.0,2.0,30.0,121.0,98.15
2017-12-01,12-01,32.0,2.0,32.0,184.0,184.73
2017-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2017-12-03,12-03,23.0,1.0,23.0,227.0,76.38
2017-12-04,12-04,6.0,2.0,6.0,55.0,14.96
2017-12-05,12-05,36.0,3.0,33.0,141.0,179.6
2017-12-06,12-06,0.0,0.0,0.0,0.0,0.0
2017-12-07,12-07,8.0,2.0,4.0,12.0,32.2
2017-12-08,12-08,0.0,0.0,0.0,0.0,0.0
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,76.0,3.0,71.0,645.0,237.22
2017-12-11,12-11,0.0,0.0,0.0,0.0,0.0
2017-12-12,12-12,0.0,0.0,0.0,0.0,0.0
2017-12-13,12-13,0.0,0.0,0.0,0.0,0.0
2017-12-14,12-14,0.0,0.0,0.0,0.0,0.0
2017-12-15,12-15,0.0,0.0,0.0,0.0,0.0
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,46.0,1.0,46.0,498.0,81.33
2017-12-18,12-18,9.0,1.0,9.0,58.0,41.5
2017-12-19,12-19,0.0,0.0,0.0,0.0,0.0
2017-12-20,12-20,0.0,0.0,0.0,0.0,0.0
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,0.0,0.0,0.0,0.0,0.0
2018-01-02,01-02,0.0,0.0,0.0,0.0,0.0
2018-01-03,01-03,0.0,0.0,0.0,0.0,0.0
2018-01-04,01-04,38.0,1.0,38.0,495.0,55.99
2018-01-05,01-05,125.0,3.0,121.0,1210.0,501.19
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,0.0,0.0,0.0,0.0,0.0
2018-01-08,01-08,0.0,0.0,0.0,0.0,0.0
2018-01-09,01-09,0.0,0.0,0.0,0.0,0.0
2018-01-10,01-10,44.0,3.0,44.0,306.0,490.62
2018-01-11,01-11,0.0,0.0,0.0,0.0,0.0
2018-01-12,01-12,0.0,0.0,0.0,0.0,0.0
2018-01-13,01-13,0.0,0.0,0.0,0.0,0.0
2018-01-14,01-14,0.0,0.0,0.0,0.0,0.0
2018-01-15,01-15,0.0,0.0,0.0,0.0,0.0
2018-01-16,01-16,75.0,3.0,67.0,592.0,249.66
2018-01-17,01-17,0.0,0.0,0.0,0.0,0.0
2018-01-18,01-18,0.0,0.0,0.0,0.0,0.0
2018-01-19,01-19,0.0,0.0,0.0,0.0,0.0
2018-01-20,01-20,0.0,0.0,0.0,0.0,0.0
2018-01-21,01-21,0.0,0.0,0.0,0.0,0.0
2018-01-22,01-22,0.0,0.0,0.0,0.0,0.0
2018-01-23,01-23,29.0,2.0,29.0,273.0,121.66
2018-01-24,01-24,0.0,0.0,0.0,0.0,0.0
2018-01-25,01-25,0.0,0.0,0.0,0.0,0.0
2018-01-26,01-26,0.0,0.0,0.0,0.0,0.0
2018-01-27,01-27,0.0,0.0,0.0,0.0,0.0
2018-01-28,01-28,25.0,1.0,25.0,264.0,45.91
2018-01-29,01-29,0.0,0.0,0.0,0.0,0.0
2018-01-30,01-30,0.0,0.0,0.0,0.0,0.0
2018-01-31,01-31,29.0,1.0,29.0,266.0,99.84
2018-02-01,02-01,1.0,1.0,1.0,1.0,51.0
2018-02-02,02-02,0.0,0.0,0.0,0.0,0.0
2018-02-03,02-03,0.0,0.0,0.0,0.0,0.0
2018-02-04,02-04,50.0,1.0,50.0,476.0,106.15
2018-02-05,02-05,0.0,0.0,0.0,0.0,0.0
2018-02-06,02-06,159.0,5.0,146.0,1558.0,384.03
2018-02-07,02-07,0.0,0.0,0.0,0.0,0.0
2018-02-08,02-08,68.0,5.0,56.0,473.0,305.15
2018-02-09,02-09,18.0,1.0,18.0,152.0,112.49
2018-02-10,02-10,0.0,0.0,0.0,0.0,0.0
2018-02-11,02-11,0.0,0.0,0.0,0.0,0.0
2018-02-12,02-12,0.0,0.0,0.0,0.0,0.0
2018-02-13,02-13,0.0,0.0,0.0,0.0,0.0
2018-02-14,02-14,0.0,0.0,0.0,0.0,0.0
2018-02-15,02-15,0.0,0.0,0.0,0.0,0.0
2018-02-16,02-16,0.0,0.0,0.0,0.0,0.0
2018-02-17,02-17,0.0,0.0,0.0,0.0,0.0
2018-02-18,02-18,0.0,0.0,0.0,0.0,0.0
2018-02-19,02-19,1.0,1.0,1.0,2.0,1.25
2018-02-20,02-20,57.0,3.0,56.0,494.0,223.28
2018-02-21,02-21,0.0,0.0,0.0,0.0,0.0
2018-02-22,02-22,20.0,1.0,20.0,204.0,58.15
2018-02-23,02-23,0.0,0.0,0.0,0.0,0.0
2018-02-24,02-24,0.0,0.0,0.0,0.0,0.0
2018-02-25,02-25,0.0,0.0,0.0,0.0,0.0
2018-02-26,02-26,37.0,1.0,37.0,336.0,92.28
2018-02-27,02-27,68.0,3.0,65.0,545.0,291.81
2018-02-28,02-28,21.0,3.0,20.0,161.0,68.93
2018-03-01,03-01,12.0,1.0,12.0,106.0,40.650000000000006
2018-03-02,03-02,19.0,1.0,19.0,164.0,65.78999999999999
2018-03-03,03-03,0.0,0.0,0.0,0.0,0.0
2018-03-04,03-04,0.0,0.0,0.0,0.0,0.0
2018-03-05,03-05,4.0,1.0,4.0,9.0,11.5
2018-03-06,03-06,45.0,2.0,41.0,391.0,145.37
2018-03-07,03-07,4.0,1.0,4.0,8.0,12.7
