date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,44.0,1.0,44.0,367.0,139.03
2017-11-29,11-29,2.0,1.0,2.0,5.0,4.6
2017-11-30,11-30,3.0,1.0,3.0,2.0,12.850000000000001
2017-12-01,12-01,0.0,0.0,0.0,0.0,0.0
2017-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2017-12-03,12-03,13.0,1.0,13.0,98.0,49.2
2017-12-04,12-04,44.0,3.0,39.0,444.0,151.98
2017-12-05,12-05,0.0,0.0,0.0,0.0,0.0
2017-12-06,12-06,44.0,4.0,41.0,422.0,376.7
2017-12-07,12-07,0.0,0.0,0.0,0.0,0.0
2017-12-08,12-08,5.0,2.0,5.0,13.0,13.35
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,4.0,1.0,4.0,34.0,30.32
2017-12-11,12-11,190.0,6.0,143.0,1724.0,489.39
2017-12-12,12-12,0.0,0.0,0.0,0.0,0.0
2017-12-13,12-13,0.0,0.0,0.0,0.0,0.0
2017-12-14,12-14,1.0,1.0,1.0,1.0,3.25
2017-12-15,12-15,23.0,5.0,21.0,109.0,105.39
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,17.0,1.0,17.0,134.0,66.0
2017-12-18,12-18,25.0,1.0,25.0,273.0,76.68
2017-12-19,12-19,0.0,0.0,0.0,0.0,0.0
2017-12-20,12-20,5.0,1.0,5.0,10.0,7.05
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,3.0,1.0,3.0,8.0,16.29
2018-01-02,01-02,0.0,0.0,0.0,0.0,0.0
2018-01-03,01-03,0.0,0.0,0.0,0.0,0.0
2018-01-04,01-04,14.0,2.0,14.0,66.0,47.55
2018-01-05,01-05,0.0,0.0,0.0,0.0,0.0
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,0.0,0.0,0.0,0.0,0.0
2018-01-08,01-08,34.0,4.0,33.0,213.0,111.49
2018-01-09,01-09,89.0,4.0,80.0,871.0,259.45
2018-01-10,01-10,40.0,2.0,40.0,347.0,144.57
2018-01-11,01-11,47.0,3.0,46.0,334.0,154.92000000000002
2018-01-12,01-12,8.0,2.0,8.0,26.0,23.27
2018-01-13,01-13,0.0,0.0,0.0,0.0,0.0
2018-01-14,01-14,0.0,0.0,0.0,0.0,0.0
2018-01-15,01-15,2.0,1.0,2.0,6.0,6.7
2018-01-16,01-16,2.0,1.0,2.0,4.0,3.64
2018-01-17,01-17,0.0,0.0,0.0,0.0,0.0
2018-01-18,01-18,0.0,0.0,0.0,0.0,0.0
2018-01-19,01-19,131.0,2.0,122.0,1161.0,352.31
2018-01-20,01-20,0.0,0.0,0.0,0.0,0.0
2018-01-21,01-21,40.0,1.0,40.0,332.0,104.07
2018-01-22,01-22,11.0,1.0,11.0,22.0,34.7
2018-01-23,01-23,86.0,12.0,76.0,841.0,408.53
2018-01-24,01-24,0.0,0.0,0.0,0.0,0.0
2018-01-25,01-25,9.0,3.0,9.0,20.0,32.75
2018-01-26,01-26,0.0,0.0,0.0,0.0,0.0
2018-01-27,01-27,0.0,0.0,0.0,0.0,0.0
2018-01-28,01-28,99.0,1.0,99.0,757.0,288.78000000000003
2018-01-29,01-29,39.0,2.0,38.0,365.0,126.26
2018-01-30,01-30,1.0,1.0,1.0,3.0,0.85
2018-01-31,01-31,4.0,2.0,4.0,30.0,5.3
2018-02-01,02-01,17.0,2.0,17.0,152.0,48.38
2018-02-02,02-02,47.0,2.0,45.0,173.0,154.83
2018-02-03,02-03,0.0,0.0,0.0,0.0,0.0
2018-02-04,02-04,7.0,1.0,7.0,43.0,43.1
2018-02-05,02-05,60.0,3.0,54.0,490.0,212.97
2018-02-06,02-06,90.0,5.0,78.0,780.0,277.81
2018-02-07,02-07,15.0,1.0,15.0,126.0,53.26
2018-02-08,02-08,17.0,3.0,17.0,138.0,41.8
2018-02-09,02-09,48.0,3.0,48.0,427.0,103.82
2018-02-10,02-10,0.0,0.0,0.0,0.0,0.0
2018-02-11,02-11,0.0,0.0,0.0,0.0,0.0
2018-02-12,02-12,50.0,2.0,49.0,321.0,161.72
2018-02-13,02-13,3.0,1.0,3.0,6.0,10.850000000000001
2018-02-14,02-14,2.0,1.0,2.0,4.0,1.7
2018-02-15,02-15,10.0,1.0,10.0,102.0,20.560000000000002
2018-02-16,02-16,0.0,0.0,0.0,0.0,0.0
2018-02-17,02-17,0.0,0.0,0.0,0.0,0.0
2018-02-18,02-18,0.0,0.0,0.0,0.0,0.0
2018-02-19,02-19,1.0,1.0,1.0,2.0,3.75
2018-02-20,02-20,26.0,7.0,25.0,157.0,79.65
2018-02-21,02-21,0.0,0.0,0.0,0.0,0.0
2018-02-22,02-22,10.0,2.0,9.0,64.0,70.58
2018-02-23,02-23,0.0,0.0,0.0,0.0,0.0
2018-02-24,02-24,0.0,0.0,0.0,0.0,0.0
2018-02-25,02-25,36.0,2.0,32.0,290.0,127.3
2018-02-26,02-26,0.0,0.0,0.0,0.0,0.0
2018-02-27,02-27,17.0,2.0,17.0,118.0,71.39999999999999
2018-02-28,02-28,29.0,3.0,28.0,180.0,87.22
2018-03-01,03-01,0.0,0.0,0.0,0.0,0.0
2018-03-02,03-02,31.0,3.0,29.0,311.0,128.0
2018-03-03,03-03,0.0,0.0,0.0,0.0,0.0
2018-03-04,03-04,127.0,2.0,125.0,1077.0,348.32
2018-03-05,03-05,30.0,3.0,28.0,233.0,105.01
2018-03-06,03-06,8.0,2.0,7.0,43.0,181.37
2018-03-07,03-07,23.0,2.0,23.0,173.0,81.4
2018-03-08,03-08,0.0,0.0,0.0,0.0,0.0
2018-03-09,03-09,1.0,1.0,1.0,2.0,1.9500000000000002
2018-03-10,03-10,0.0,0.0,0.0,0.0,0.0
2018-03-11,03-11,0.0,0.0,0.0,0.0,0.0
2018-03-12,03-12,8.0,2.0,8.0,54.0,42.1
2018-03-13,03-13,54.0,4.0,46.0,371.0,175.73000000000002
2018-03-14,03-14,38.0,2.0,38.0,519.0,106.39999999999999
2018-03-15,03-15,53.0,2.0,52.0,496.0,155.66
2018-03-16,03-16,0.0,0.0,0.0,0.0,0.0
2018-03-17,03-17,0.0,0.0,0.0,0.0,0.0
2018-03-18,03-18,0.0,0.0,0.0,0.0,0.0
2018-03-19,03-19,42.0,2.0,38.0,340.0,142.03
2018-03-20,03-20,3.0,1.0,3.0,6.0,11.45
2018-03-21,03-21,7.0,1.0,7.0,87.0,25.39
2018-03-22,03-22,34.0,3.0,33.0,298.0,152.2
2018-03-23,03-23,109.0,3.0,107.0,792.0,377.13
2018-03-24,03-24,0.0,0.0,0.0,0.0,0.0
2018-03-25,03-25,0.0,0.0,0.0,0.0,0.0
2018-03-26,03-26,1.0,1.0,1.0,3.0,2.1
2018-03-27,03-27,0.0,0.0,0.0,0.0,0.0
2018-03-28,03-28,5.0,1.0,5.0,3.0,29.55
2018-03-29,03-29,123.0,5.0,97.0,1048.0,361.73
2018-03-30,03-30,0.0,0.0,0.0,0.0,0.0
2018-03-31,03-31,0.0,0.0,0.0,0.0,0.0
2018-04-01,04-01,0.0,0.0,0.0,0.0,0.0
2018-04-02,04-02,0.0,0.0,0.0,0.0,0.0
2018-04-03,04-03,0.0,0.0,0.0,0.0,0.0
2018-04-04,04-04,32.0,1.0,32.0,302.0,79.95
2018-04-05,04-05,38.0,2.0,35.0,125.0,72.35
2018-04-06,04-06,81.0,2.0,74.0,733.0,213.89000000000001
2018-04-07,04-07,0.0,0.0,0.0,0.0,0.0
2018-04-08,04-08,59.0,2.0,59.0,730.0,120.31
2018-04-09,04-09,47.0,3.0,47.0,415.0,431.64099999999996
2018-04-10,04-10,0.0,0.0,0.0,0.0,0.0
2018-04-11,04-11,36.0,2.0,36.0,312.0,120.09
2018-04-12,04-12,19.0,1.0,19.0,192.0,41.97
2018-04-13,04-13,21.0,1.0,21.0,131.0,94.07
2018-04-14,04-14,0.0,0.0,0.0,0.0,0.0
2018-04-15,04-15,0.0,0.0,0.0,0.0,0.0
2018-04-16,04-16,25.0,1.0,25.0,252.0,49.83
2018-04-17,04-17,40.0,3.0,37.0,268.0,154.34
2018-04-18,04-18,58.0,2.0,57.0,659.0,183.82
2018-04-19,04-19,55.0,4.0,50.0,465.0,164.92
2018-04-20,04-20,10.0,2.0,10.0,25.0,49.69
2018-04-21,04-21,0.0,0.0,0.0,0.0,0.0
2018-04-22,04-22,36.0,1.0,36.0,305.0,101.2
2018-04-23,04-23,71.0,3.0,62.0,710.0,245.23
2018-04-24,04-24,0.0,0.0,0.0,0.0,0.0
2018-04-25,04-25,16.0,1.0,16.0,111.0,81.6
2018-04-26,04-26,3.0,1.0,3.0,6.0,14.850000000000001
2018-04-27,04-27,19.0,1.0,19.0,151.0,84.05
2018-04-28,04-28,0.0,0.0,0.0,0.0,0.0
2018-04-29,04-29,10.0,1.0,10.0,96.0,48.45
2018-04-30,04-30,0.0,0.0,0.0,0.0,0.0
2018-05-01,05-01,8.0,2.0,8.0,15.0,35.4
2018-05-02,05-02,22.0,1.0,22.0,209.0,63.04
2018-05-03,05-03,48.0,2.0,48.0,463.0,182.81
2018-05-04,05-04,0.0,0.0,0.0,0.0,0.0
2018-05-05,05-05,0.0,0.0,0.0,0.0,0.0
2018-05-06,05-06,0.0,0.0,0.0,0.0,0.0
2018-05-07,05-07,3.0,1.0,3.0,11.0,16.15
2018-05-08,05-08,7.0,1.0,7.0,49.0,58.54
2018-05-09,05-09,34.0,1.0,34.0,297.0,88.61
2018-05-10,05-10,19.0,1.0,19.0,176.0,62.24
2018-05-11,05-11,9.0,3.0,9.0,23.0,25.619999999999997
2018-05-12,05-12,0.0,0.0,0.0,0.0,0.0
2018-05-13,05-13,0.0,0.0,0.0,0.0,0.0
2018-05-14,05-14,29.0,1.0,29.0,256.0,104.22
2018-05-15,05-15,16.0,2.0,16.0,120.0,83.05
2018-05-16,05-16,1.0,1.0,1.0,4.0,10.95
2018-05-17,05-17,21.0,2.0,21.0,121.0,83.02
2018-05-18,05-18,76.0,2.0,75.0,558.0,301.11
2018-05-19,05-19,0.0,0.0,0.0,0.0,0.0
2018-05-20,05-20,16.0,1.0,16.0,137.0,47.75
2018-05-21,05-21,14.0,1.0,14.0,139.0,35.38
2018-05-22,05-22,0.0,0.0,0.0,0.0,0.0
2018-05-23,05-23,3.0,2.0,3.0,8.0,20.5
2018-05-24,05-24,10.0,2.0,10.0,73.0,60.95
2018-05-25,05-25,37.0,2.0,35.0,337.0,88.38
2018-05-26,05-26,0.0,0.0,0.0,0.0,0.0
2018-05-27,05-27,0.0,0.0,0.0,0.0,0.0
2018-05-28,05-28,0.0,0.0,0.0,0.0,0.0
2018-05-29,05-29,24.0,2.0,24.0,129.0,101.39
2018-05-30,05-30,0.0,0.0,0.0,0.0,0.0
2018-05-31,05-31,0.0,0.0,0.0,0.0,0.0
2018-06-01,06-01,30.0,1.0,30.0,294.0,78.78
2018-06-02,06-02,0.0,0.0,0.0,0.0,0.0
2018-06-03,06-03,20.0,1.0,20.0,279.0,44.9
2018-06-04,06-04,100.0,6.0,90.0,825.0,364.35
2018-06-05,06-05,22.0,4.0,22.0,203.0,358.15
2018-06-06,06-06,0.0,0.0,0.0,0.0,0.0
2018-06-07,06-07,15.0,1.0,15.0,136.0,35.32
2018-06-08,06-08,0.0,0.0,0.0,0.0,0.0
2018-06-09,06-09,0.0,0.0,0.0,0.0,0.0
2018-06-10,06-10,23.0,2.0,23.0,147.0,76.32
2018-06-11,06-11,0.0,0.0,0.0,0.0,0.0
2018-06-12,06-12,103.0,2.0,102.0,1072.0,247.49
2018-06-13,06-13,43.0,1.0,43.0,374.0,105.43
2018-06-14,06-14,0.0,0.0,0.0,0.0,0.0
2018-06-15,06-15,0.0,0.0,0.0,0.0,0.0
2018-06-16,06-16,0.0,0.0,0.0,0.0,0.0
2018-06-17,06-17,12.0,1.0,12.0,138.0,47.769999999999996
2018-06-18,06-18,0.0,0.0,0.0,0.0,0.0
2018-06-19,06-19,0.0,0.0,0.0,0.0,0.0
2018-06-20,06-20,0.0,0.0,0.0,0.0,0.0
2018-06-21,06-21,92.0,1.0,92.0,926.0,161.19
2018-06-22,06-22,0.0,0.0,0.0,0.0,0.0
2018-06-23,06-23,0.0,0.0,0.0,0.0,0.0
