date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,0.0,0.0,0.0,0.0,0.0
2017-11-29,11-29,23.0,2.0,22.0,240.0,49.33
2017-11-30,11-30,0.0,0.0,0.0,0.0,0.0
2017-12-01,12-01,22.0,1.0,22.0,195.0,77.52
2017-12-02,12-02,0.0,0.0,0.0,0.0,0.0
2017-12-03,12-03,0.0,0.0,0.0,0.0,0.0
2017-12-04,12-04,0.0,0.0,0.0,0.0,0.0
2017-12-05,12-05,51.0,1.0,51.0,51.0,104.15
2017-12-06,12-06,0.0,0.0,0.0,0.0,0.0
2017-12-07,12-07,0.0,0.0,0.0,0.0,0.0
2017-12-08,12-08,0.0,0.0,0.0,0.0,0.0
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,0.0,0.0,0.0,0.0,0.0
2017-12-11,12-11,0.0,0.0,0.0,0.0,0.0
2017-12-12,12-12,0.0,0.0,0.0,0.0,0.0
2017-12-13,12-13,7.0,1.0,7.0,76.0,37.25
2017-12-14,12-14,0.0,0.0,0.0,0.0,0.0
2017-12-15,12-15,52.0,1.0,52.0,634.0,116.00999999999999
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,0.0,0.0,0.0,0.0,0.0
2017-12-18,12-18,0.0,0.0,0.0,0.0,0.0
2017-12-19,12-19,0.0,0.0,0.0,0.0,0.0
2017-12-20,12-20,0.0,0.0,0.0,0.0,0.0
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,0.0,0.0,0.0,0.0,0.0
2018-01-02,01-02,0.0,0.0,0.0,0.0,0.0
2018-01-03,01-03,0.0,0.0,0.0,0.0,0.0
2018-01-04,01-04,0.0,0.0,0.0,0.0,0.0
2018-01-05,01-05,0.0,0.0,0.0,0.0,0.0
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,0.0,0.0,0.0,0.0,0.0
2018-01-08,01-08,2.0,1.0,2.0,7.0,15.64
2018-01-09,01-09,0.0,0.0,0.0,0.0,0.0
2018-01-10,01-10,0.0,0.0,0.0,0.0,0.0
2018-01-11,01-11,0.0,0.0,0.0,0.0,0.0
2018-01-12,01-12,9.0,2.0,8.0,85.0,47.15
2018-01-13,01-13,0.0,0.0,0.0,0.0,0.0
2018-01-14,01-14,0.0,0.0,0.0,0.0,0.0
2018-01-15,01-15,0.0,0.0,0.0,0.0,0.0
2018-01-16,01-16,0.0,0.0,0.0,0.0,0.0
2018-01-17,01-17,0.0,0.0,0.0,0.0,0.0
2018-01-18,01-18,0.0,0.0,0.0,0.0,0.0
2018-01-19,01-19,49.0,2.0,48.0,484.0,90.42
2018-01-20,01-20,0.0,0.0,0.0,0.0,0.0
2018-01-21,01-21,0.0,0.0,0.0,0.0,0.0
2018-01-22,01-22,0.0,0.0,0.0,0.0,0.0
2018-01-23,01-23,91.0,2.0,90.0,966.0,184.24
2018-01-24,01-24,0.0,0.0,0.0,0.0,0.0
2018-01-25,01-25,0.0,0.0,0.0,0.0,0.0
2018-01-26,01-26,0.0,0.0,0.0,0.0,0.0
2018-01-27,01-27,0.0,0.0,0.0,0.0,0.0
2018-01-28,01-28,0.0,0.0,0.0,0.0,0.0
2018-01-29,01-29,0.0,0.0,0.0,0.0,0.0
2018-01-30,01-30,0.0,0.0,0.0,0.0,0.0
2018-01-31,01-31,9.0,1.0,9.0,66.0,41.5
2018-02-01,02-01,0.0,0.0,0.0,0.0,0.0
2018-02-02,02-02,0.0,0.0,0.0,0.0,0.0
2018-02-03,02-03,0.0,0.0,0.0,0.0,0.0
2018-02-04,02-04,0.0,0.0,0.0,0.0,0.0
2018-02-05,02-05,0.0,0.0,0.0,0.0,0.0
2018-02-06,02-06,0.0,0.0,0.0,0.0,0.0
2018-02-07,02-07,0.0,0.0,0.0,0.0,0.0
2018-02-08,02-08,0.0,0.0,0.0,0.0,0.0
2018-02-09,02-09,0.0,0.0,0.0,0.0,0.0
