date,month_day,purchases,unique_invoices,total_streams,total_views,revenue
2017-11-28,11-28,2953.0,154.0,1291.0,12922.0,13281.12
2017-11-29,11-29,3217.0,125.0,1389.0,13650.0,13222.97
2017-11-30,11-30,2911.0,144.0,1318.0,15243.0,12941.5
2017-12-01,12-01,2443.0,100.0,1221.0,11652.0,9163.07
2017-12-02,12-02,370.0,31.0,263.0,3101.0,1263.28
2017-12-03,12-03,1888.0,87.0,964.0,8096.0,6229.11
2017-12-04,12-04,2684.0,110.0,1301.0,11202.0,12189.79
2017-12-05,12-05,2283.0,157.0,1151.0,11906.0,8892.27
2017-12-06,12-06,2423.0,108.0,1292.0,10071.0,10886.99
2017-12-07,12-07,2403.0,116.0,1192.0,11572.0,10651.380000000001
2017-12-08,12-08,1535.0,117.0,875.0,7902.0,4864.07
2017-12-09,12-09,0.0,0.0,0.0,0.0,0.0
2017-12-10,12-10,1678.0,71.0,935.0,7685.0,4568.2
2017-12-11,12-11,3851.0,113.0,1568.0,14845.0,19097.670000000002
2017-12-12,12-12,1896.0,119.0,1000.0,10331.0,9518.67
2017-12-13,12-13,3137.0,101.0,1409.0,13689.0,15610.17
2017-12-14,12-14,1944.0,157.0,1062.0,9346.0,6003.74
2017-12-15,12-15,1732.0,71.0,1011.0,6557.0,9560.02
2017-12-16,12-16,0.0,0.0,0.0,0.0,0.0
2017-12-17,12-17,573.0,37.0,418.0,3381.0,1811.51
2017-12-18,12-18,576.0,49.0,427.0,2473.0,2650.71
2017-12-19,12-19,2032.0,202.0,1136.0,5056.0,13254.54
2017-12-20,12-20,328.0,29.0,286.0,1089.0,1580.29
2017-12-21,12-21,0.0,0.0,0.0,0.0,0.0
2017-12-22,12-22,0.0,0.0,0.0,0.0,0.0
2017-12-23,12-23,0.0,0.0,0.0,0.0,0.0
2017-12-24,12-24,0.0,0.0,0.0,0.0,0.0
2017-12-25,12-25,0.0,0.0,0.0,0.0,0.0
2017-12-26,12-26,0.0,0.0,0.0,0.0,0.0
2017-12-27,12-27,0.0,0.0,0.0,0.0,0.0
2017-12-28,12-28,0.0,0.0,0.0,0.0,0.0
2017-12-29,12-29,0.0,0.0,0.0,0.0,0.0
2017-12-30,12-30,0.0,0.0,0.0,0.0,0.0
2017-12-31,12-31,0.0,0.0,0.0,0.0,0.0
2018-01-01,01-01,663.0,68.0,520.0,2993.0,1936.26
2018-01-02,01-02,938.0,46.0,634.0,5603.0,3061.27
2018-01-03,01-03,294.0,14.0,250.0,1994.0,965.85
2018-01-04,01-04,846.0,78.0,586.0,6108.0,2777.02
2018-01-05,01-05,533.0,41.0,380.0,3793.0,1893.67
2018-01-06,01-06,0.0,0.0,0.0,0.0,0.0
2018-01-07,01-07,676.0,36.0,475.0,4464.0,1969.56
2018-01-08,01-08,2605.0,63.0,1057.0,7931.0,12781.81
2018-01-09,01-09,1017.0,60.0,730.0,4806.0,3535.13
2018-01-10,01-10,1552.0,51.0,892.0,5034.0,7670.26
2018-01-11,01-11,2141.0,83.0,1022.0,8905.0,11974.44
2018-01-12,01-12,554.0,45.0,375.0,3715.0,1699.27
2018-01-13,01-13,0.0,0.0,0.0,0.0,0.0
2018-01-14,01-14,1116.0,41.0,684.0,5700.0,3438.31
2018-01-15,01-15,1879.0,48.0,993.0,5934.0,8679.83
2018-01-16,01-16,1639.0,44.0,990.0,7538.0,7036.981
2018-01-17,01-17,1207.0,74.0,809.0,5001.0,4729.54
2018-01-18,01-18,1095.0,85.0,712.0,5824.0,3402.06
2018-01-19,01-19,1186.0,66.0,766.0,5568.0,5207.34
2018-01-20,01-20,0.0,0.0,0.0,0.0,0.0
2018-01-21,01-21,1231.0,51.0,685.0,5560.0,3918.16
2018-01-22,01-22,1650.0,69.0,905.0,7339.0,6752.71
2018-01-23,01-23,1345.0,124.0,783.0,5821.0,12331.51
2018-01-24,01-24,1443.0,82.0,835.0,6878.0,6081.76
2018-01-25,01-25,1182.0,78.0,724.0,7277.0,3580.92
2018-01-26,01-26,1207.0,81.0,717.0,6180.0,23937.591
2018-01-27,01-27,0.0,0.0,0.0,0.0,0.0
2018-01-28,01-28,1244.0,53.0,723.0,6146.0,3462.62
2018-01-29,01-29,1258.0,71.0,795.0,5185.0,5286.951
